Release_date,Build_number,Knowledge_base
2021-01-12,18363.1316,KB4598229
2021-01-12,17763.1697,KB4598230
2021-01-12,17134.1967,KB4598245
2021-01-12,15063.2614,KB4599208
2021-01-12,14393.4169,KB4598243
2020-12-08,19042.685,KB4592438
2020-12-08,19041.685,KB4592438
2020-12-08,18363.1256,KB4592449
2020-12-08,18362.1256,KB4592449
2020-12-08,17763.1637,KB4592440
2020-12-08,17134.1902,KB4592446
2020-12-08,15063.2584,KB4592473
2020-12-08,14393.4104,KB4593226
2020-12-08,10240.18782,KB4592464
2020-11-30,19041.662,KB4586853 (Preview)
2020-11-23,19042.662,KB4586853 (Preview)
2020-11-20,18362.1237,KB4586819 (Preview)
2020-11-19,19042.631,KB4594440
2020-11-19,19041.631,KB4594440
2020-11-19,18363.1237,KB4586819 (Preview)
2020-11-19,17763.1613,KB4586839 (Preview)
2020-11-19,14393.4048,KB4594441
2020-11-10,19042.63,KB4586781
2020-11-10,19041.63,KB4586781
2020-11-10,18363.1198,KB4586786
2020-11-10,18362.1198,KB4586786
2020-11-10,17763.1577,KB4586793
2020-11-10,17134.1845,KB4586785
2020-11-10,15063.2554,KB4586782
2020-11-10,14393.4046,KB4586830
2020-11-10,10240.18756,KB4586787
2020-10-29,19042.61,KB4580364 (Preview)
2020-10-29,19041.61,KB4580364 (Preview)
2020-10-22,18363.1171,KB4580386 (Preview)
2020-10-22,18362.1171,KB4580386 (Preview)
2020-10-22,17763.1554,KB4580390 (Preview)
2020-10-13,19041.572,KB4579311
2020-10-13,18363.1139,KB4577671
2020-10-13,18362.1139,KB4577671
2020-10-13,17763.1457,KB4577668
2020-10-13,17134.1792,KB4580330
2020-10-13,16299.2166,KB4580328
2020-10-13,15063.2525,KB4580370
2020-10-13,14393.3986,KB4580346
2020-10-13,10240.18725,KB4580327
2020-10-01,19041.546,KB4577063 (Preview)
2020-09-16,18363.1110,KB4577062 (Preview)
2020-09-16,18362.111,KB4577062 (Preview)
2020-09-16,17763.149,KB4577069 (Preview)
2020-09-08,19041.508,KB4571756
2020-09-08,18363.1082,KB4574727
2020-09-08,18362.1082,KB4574727
2020-09-08,17763.1457,KB4570333
2020-09-08,17134.1726,KB4577032
2020-09-08,16299.2107,KB4577041
2020-09-08,15063.25,KB4577021
2020-09-08,14393.393,KB4577015
2020-09-08,10240.18696,KB4577049
2020-09-03,19041.488,KB4571744 (Preview)
2020-08-11,19041.45,KB4566782
2020-08-11,18363.1016,KB4565351
2020-08-11,18362.1016,KB4565351
2020-08-11,17763.1397,KB4565349
2020-08-11,17134.1667,KB4571709
2020-08-11,16299.2045,KB4571741
2020-08-11,15063.2467,KB4571689
2020-08-11,14393.3866,KB4571694
2020-08-11,10240.18666,KB4571692
2020-07-31,19041.423,KB4568831 (Preview)
2020-07-21,18363.997,KB4559004 (Preview)
2020-07-21,18362.997,KB4559004 (Preview)
2020-07-21,17763.1369,KB4559003 (Preview)
2020-07-14,19041.388,KB4565503
2020-07-14,18363.959,KB4565483
2020-07-14,18362.959,KB4565483
2020-07-14,17763.1339,KB4558998
2020-07-14,17134.161,KB4565489
2020-07-14,16299.1992,KB4565508
2020-07-14,15063.2439,KB4565499
2020-07-14,14393.3808,KB4565511
2020-07-14,10240.18638,KB4565513
2020-06-18,19041.331,KB4567523
2020-06-18,16299.1937,KB4567515
2020-06-18,15063.2411,KB4567516
2020-06-18,14393.3755,KB4567517
2020-06-18,10240.18609,KB4567518
2020-06-16,18363.904,KB4567512
2020-06-16,18362.904,KB4567512
2020-06-16,17763.1294,KB4567513
2020-06-16,17134.1553,KB4567514
2020-06-09,19041.329,KB4557957
2020-06-09,18363.900,KB4560960
2020-06-09,18362.9,KB4557957
2020-06-09,17763.1282,KB4561608
2020-06-09,17134.155,KB4561621
2020-06-09,16299.1932,KB4561602
2020-06-09,15063.2409,KB4561605
2020-06-09,14393.375,KB4561616
2020-06-09,10240.18608,KB4561649
2020-05-12,18363.836,KB4556799
2020-05-12,18362.836,KB4556799
2020-05-12,17763.1217,KB4551853
2020-05-12,17134.1488,KB4556807
2020-05-12,16299.1868,KB4556812
2020-05-12,15063.2375,KB4556804
2020-05-12,14393.3686,KB4556813
2020-05-12,10240.18575,KB4556826
2020-04-21,18363.815,KB4550945
2020-04-21,18362.815,KB4550945
2020-04-21,17763.1192,KB4550969
2020-04-21,17134.1456,KB4550944
2020-04-14,18363.778,KB4549951
2020-04-14,18362.778,KB4549951
2020-04-14,17763.1158,KB4549949
2020-04-14,17134.1425,KB4550922
2020-04-14,16299.1806,KB4550927
2020-04-14,15063.2346,KB4550939
2020-04-14,14393.363,KB4550929
2020-03-31,18363.753,KB4554364 (Optional)
2020-03-31,18362.753,KB4554364
2020-03-31,17763.1132,KB4554354 (Optional)
2020-03-31,17134.1401,KB4554349 (Optional)
2020-03-31,16299.1776,KB4554342 (Optional)
2020-03-24,18363.752,KB4541335
2020-03-24,18362.752,KB4541335
2020-03-18,17763.1131,KB4541331
2020-03-18,17134.1399,KB4541333
2020-03-18,17134.1399,KB4541333
2020-03-18,16299.1775,KB4541330
2020-03-12,18363.72,KB4551762
2020-03-12,18362.72,KB4551762
2020-03-10,18363.719,KB4540673
2020-03-10,18362.719,KB4540673
2020-03-10,17763.1098,KB4538461
2020-03-10,17134.1355,KB4540689
2020-03-10,16299.1747,KB4540681
2020-03-10,15063.2313,KB4540705
2020-03-10,14393.3564,KB4540670
2020-03-10,10240.18519,KB4540693
2020-02-28,18362.693,KB4535996
2020-02-27,18363.693,KB4535996
2020-02-25,17763.1075,KB4532693
2020-02-25,17134.1345,KB4537795
2020-02-25,16299.1717,KB4537816
2020-02-25,14393.3542,KB4537806
2020-02-11,18363.657,KB4532693
2020-02-11,18362.657,KB4532693
2020-02-11,17763.1039,KB4532691
2020-02-11,17134.1304,KB4537762
2020-02-11,16299.1686,KB4537789
2020-02-11,15063.2284,KB4537765
2020-02-11,14393.3504,KB4537764
2020-02-11,10240.18486,KB4537776
2020-01-28,18363.628,KB4532695
2020-01-28,18362.628,KB4532695
2020-01-24,17763.1012,KB4534321
2020-01-24,17134.1276,KB4534308
2020-01-24,16299.1654,KB4534318
2020-01-24,14393.3474,KB4534307
2020-01-14,18363.592,KB4528760
2020-01-14,18362.592,KB4528760
2020-01-14,17763.973,KB4534273
2020-01-14,17134.1246,KB4534293
2020-01-14,16299.1625,KB4534276
2020-01-14,15063.2254,KB4534296
2020-01-14,14393.3443,KB4534271
2020-01-14,10240.18453,KB4534306
2019-12-10,18363.535,KB4530684
2019-12-10,18362.535,KB4530684
2019-12-10,17763.914,KB4530715
2019-12-10,17134.1184,KB4530717
2019-12-10,16299.1565,KB4530714
2019-12-10,15063.2224,KB4530711
2019-12-10,14393.3384,KB4530689
2019-12-10,10240.18427,KB4530681
2019-11-12,18363.476,KB4524570
2019-11-12,18362.476,KB4524570
2019-11-12,17763.864,KB4523205
2019-11-12,17134.113,KB4525237
2019-11-12,16299.1508,KB4525241
2019-11-12,15063.2172,KB4525245
2019-11-12,14393.3326,KB4525236
2019-10-24,18363.449,"KB4522355 (Release Preview, Re-release)"
2019-10-24,18362.449,KB4522355 (Re-release)
2019-10-22,18363.448,"KB4522355 (Release Preview, Re-release)"
2019-10-18,18363.446,KB4522355 (Release Preview)
2019-10-18,18362.446,KB4522355
2019-10-15,17763.832,KB4520062
2019-10-15,17134.1099,KB4519978
2019-10-15,16299.1481,KB4520006
2019-10-15,14393.33,KB4519979
